Rank,Username,Category,Followers,Country,Engagement,img
98,iadityagautam,Lifestyle,98.2K,Singapore,8.6K,https://cdn.hypeauditor.com/img/instagram/user/1414774604.jpg?w=150&till=1725148740&sign=b90320a52fcf0336b88a9be8688bf413
99,jus.yu,Lifestyle,287.1K,Singapore,6.1K,https://cdn.hypeauditor.com/img/instagram/user/394977533.jpg?w=150&till=1725148740&sign=32bd74d07d98bf7d175ea4f5b392291d
100,novitalam,Lifestyle,368.1K,Singapore,2.8K,https://cdn.hypeauditor.com/img/instagram/user/176447252.jpg?w=150&till=1725148740&sign=62cff01916034d87c0098068c1ebf6b0
101,novitalam,Lifestyle,368.1K,Singapore,2.9K,https://cdn.hypeauditor.com/img/instagram/user/176447252.jpg?w=150&till=1725148740&sign=62cff01916034d87c0098068c1ebf6b0
102,jus.yu,Lifestyle,287.1K,Singapore,6.1K,https://cdn.hypeauditor.com/img/instagram/user/394977533.jpg?w=150&till=1725148740&sign=32bd74d07d98bf7d175ea4f5b392291d
103,noel.lin,Art/Artists,190.4K,Singapore,6.7K,https://cdn.hypeauditor.com/img/instagram/user/234623250.jpg?w=150&till=1725148740&sign=39983633dc995bd1799f0728c51257d2
104,xaya.666,Lifestyle,116.7K,Singapore,6.8K,https://cdn.hypeauditor.com/img/instagram/user/1242671098.jpg?w=150&till=1725148740&sign=70e7a8e8312079144634b00b3f6eff26
105,theonlyhavenz,Beauty,316.3K,Singapore,2.6K,https://cdn.hypeauditor.com/img/instagram/user/5899644456.jpg?w=150&till=1725148740&sign=9ea2da4fd9d98f19a1170670acf95c5e
106,marilynmonru,Lifestyle,67.2K,Singapore,13.5K,https://cdn.hypeauditor.com/img/instagram/user/15419889.jpg?w=150&till=1725148740&sign=b961382268536f3aed0bdb5c4d8351f5
107,justkeepthinkingsg,Animals,304.8K,Singapore,2.4K,https://cdn.hypeauditor.com/img/instagram/user/17585211716.jpg?w=150&till=1725148740&sign=3817f38b0eaab663f2cdfc74d8308ca9
108,overkillsg,Travel,30.7K,Singapore,22.6K,https://cdn.hypeauditor.com/img/instagram/user/52656002384.jpg?w=150&till=1725148740&sign=6aa3811f177f39e7382509ea99b4dead
109,yahuiyh,Art/Artists,221.7K,Singapore,3.5K,https://cdn.hypeauditor.com/img/instagram/user/31733241.jpg?w=150&till=1725148740&sign=a67697a9429791087cc55ae999a116e0
110,typicalben,Lifestyle,156.9K,Singapore,4.9K,https://cdn.hypeauditor.com/img/instagram/user/26926343.jpg?w=150&till=1725148740&sign=219f8e3437e2874c7042b43984a85ee6
111,nay_sann55,Lifestyle,573.3K,Singapore,1.1K,https://cdn.hypeauditor.com/img/instagram/user/16618933921.jpg?w=150&till=1725148740&sign=c8e8b65c7f36d5155ea030b0832a8c00
112,davidmatthew_,Lifestyle,139.7K,Singapore,5.4K,https://cdn.hypeauditor.com/img/instagram/user/258169931.jpg?w=150&till=1725148740&sign=a224bf8e889897ec206e0b586704fe69
113,darshen,Humor & Fun & Happiness,332.8K,Singapore,2.2K,https://cdn.hypeauditor.com/img/instagram/user/50826402.jpg?w=150&till=1725148740&sign=f339ef48d2b6d81780a2d35aceee2a5e
114,leeshuhadah,Family,65.5K,Singapore,11.5K,https://cdn.hypeauditor.com/img/instagram/user/216045273.jpg?w=150&till=1725148740&sign=1eb48fb98e04dd4319cccf345b04ba97
